#RestWavelength(Angs),f$_\lambda$
3737.0005715802204,1.6467490888655985
3740.827692010149,1.5485451787411375
3744.654812440077,1.482630895728038
3748.481932870005,1.467183520919899
3752.3090532999336,1.4875646644155063
3756.1361737298616,1.5256539745553468
3759.9632941597897,1.558918796161985
3763.7904145897182,1.5681799064708173
3767.6175350196463,1.5597196325184348
3771.444655449574,1.5479437063049488
3775.271775879502,1.5389424410811843
3779.09889630943,1.5375973760249717
3782.9260167393586,1.5435444793695425
3786.7531371692867,1.5477043842552787
3790.5802575992157,1.5400378959616943
3794.4073780291433,1.5258155004271334
3798.2344984590713,1.5212444219225751
3802.0616188889994,1.532372501465844
3805.888739318928,1.5523526305756554
3809.715859748856,1.5694338511159627
3813.542980178784,1.5759206459279411
3817.3701006087117,1.5748076761872667
3821.19722103864,1.569749299642763
3825.0243414685683,1.554631141798197
3828.8514618984964,1.527497803358511
3832.6785823284245,1.4978672453732909
3836.505702758353,1.4861531408638684
3840.332823188281,1.5022264319950274
3844.159943618209,1.528365316108869
3847.9870640481377,1.5495187580566818
3851.814184478065,1.5646493960024546
3855.6413049079933,1.5756142477633075
3859.4684253379214,1.591958131050089
3863.2955457678495,1.618523976959989
3867.122666197778,1.6446862442278831
3870.949786627706,1.6557916250308062
3874.776907057634,1.6455311056372373
3878.6040274875627,1.6187976762087741
3882.4311479174908,1.5878302755651807
3886.2582683474193,1.564440063793873
3890.0853887773474,1.5551185467470523
3893.9125092072754,1.5594883988398982
3897.739629637203,1.5730447325160333
3901.566750067131,1.5866393404253047
3905.393870497059,1.5942240035439257
3909.2209909269877,1.6009058245178158
3913.048111356916,1.6075538586218874
3916.875231786844,1.6056192358178678
3920.7023522167724,1.5933950267041999
3924.5294726467005,1.575778230635908
3928.356593076629,1.5541508614918762
3932.183713506556,1.5314811563279906
3936.0108339364842,1.5196307415033727
3939.8379543664137,1.5288848798327792
3943.665074796341,1.5492964938483005
3947.492195226269,1.5644025096943037
3951.3193156561974,1.5718067424524893
3955.1464360861255,1.5714798642603178
3958.973556516054,1.5599595350937547
3962.800676945982,1.5415298799152786
3966.62779737591,1.5286612770219334
3970.4549178058387,1.5270344490553323
3974.282038235766,1.5323925216322771
3978.109158665694,1.5410278259220722
3981.9362790956225,1.55339617619077
3985.7633995255505,1.5718193889143308
3989.590519955479,1.5944681278576125
3993.417640385407,1.6121194878302847
3997.244760815335,1.6176746481601811
4001.0718812452637,1.6174314679715762
4004.899001675192,1.6192649988617511
4008.726122105119,1.6232063524708105
4012.5532425350475,1.6269138111114134
4016.3803629649756,1.6282844357404138
4020.2074833949036,1.6257548842082328
4024.034603824832,1.6133508067424986
4027.8617242547602,1.5820132362517796
4031.688844684689,1.5422336887992623
4035.515965114617,1.541777837247177
4039.343085544545,1.5832816169716175
4043.1702059744734,1.6137338984391925
4046.9973264044015,1.620865940355378
4050.8244468343296,1.6197013831564504
4054.651567264258,1.6177376975171338
4058.4786876941853,1.6167172956046745
4062.305808124114,1.6177204257069535
4066.132928554042,1.6197888528712678
4069.96004898397,1.6207539551091679
4073.7871694138985,1.6206366170774869
4077.6142898438266,1.6204850807195839
4081.4414102737546,1.6176196378718606
4085.268530703683,1.6070902220984755
4089.095651133611,1.5911721512065193
4092.922771563539,1.577092805683366
4096.749891993467,1.5671893761135443
4100.577012423395,1.562857600856185
4104.404132853323,1.5669111448045305
4108.231253283251,1.5763628270869239
4112.05837371318,1.5838369914883794
4115.885494143108,1.588939442389774
4119.712614573036,1.5945725826028445
4123.539735002964,1.5997604923230389
4127.366855432892,1.603771210277656
4131.193975862821,1.6059882662918648
4135.0210962927495,1.6048643556351612
4138.848216722677,1.6006603229874319
4142.675337152605,1.5946739942476496
4146.502457582533,1.5902993411533186
4150.329578012461,1.5910842081626355
4154.15669844239,1.5975110630402127
4157.983818872318,1.6063708147918339
4161.810939302247,1.613417729617339
4165.638059732174,1.6160124742402566
4169.465180162101,1.6113951966254043
4173.29230059203,1.600949149771274
4177.119421021958,1.594703780839083
4180.946541451886,1.5976153143771976
4184.773661881814,1.6047631122183423
4188.6007823117425,1.6128977255399912
4192.427902741671,1.6161671736910337
4196.2550231715995,1.6129943127781792
4200.082143601528,1.6119442368238113
4203.909264031456,1.6145660116682656
4207.736384461384,1.6141650564245609
4211.563504891312,1.6099132023415914
4215.390625321241,1.604325859408865
4219.217745751168,1.5986939327991088
4223.044866181096,1.5945986034875546
4226.871986611024,1.594219536789572
4230.699107040952,1.6012189194557185
4234.526227470881,1.6141684799287466
4238.353347900809,1.625499413974291
4242.180468330737,1.62838559567767
4246.007588760665,1.6194586128589104
4249.834709190593,1.6074138670810616
4253.661829620521,1.602994965484685
