#RestWavelength(Angs),f$_\lambda$
3571.137172408836,1.1774323768518373
3571.864047469371,1.1789677601534438
3572.590922529907,1.1742002927437472
3573.3177975904423,1.1306894118129172
3574.0446726509767,1.0252628209270624
3574.771547711512,0.9965882426811514
3575.4984227720474,1.0707682913167487
3576.2252978325832,1.100158737857771
3576.9521728931177,1.1080817124217122
3577.679047953653,1.1338373208821648
3578.4059230141884,1.1677808399860212
3579.1327980747237,1.1932668621429128
3579.859673135258,1.2157399125732846
3580.586548195794,1.2117953959501595
3581.3134232563293,1.1663870849395224
3582.0402983168647,1.1197637058782253
3582.7671733773996,1.117934446626365
3583.494048437935,1.1106336965870698
3584.2209234984703,1.0987971759114552
3584.9477985590056,1.0888290254025135
3585.674673619541,1.088967202130853
3586.401548680076,1.1452313821050017
3587.128423740611,1.2277049404397968
3587.855298801146,1.2366654761363978
3588.582173861682,1.2252735964228305
3589.3090489222172,1.2338242849129282
3590.035923982752,1.2256972192435054
3590.762799043287,1.2054723784603534
3591.4896741038224,1.1877536233723769
3592.2165491643573,1.1627724388133114
3592.943424224893,1.1365767724407938
3593.670299285428,1.109793952943396
3594.3971743459633,1.1242635465368163
3595.1240494064987,1.1756588577118225
3595.8509244670336,1.1866320165957367
3596.577799527569,1.1990996774842495
3597.3046745881043,1.195142997231821
3598.0315496486396,1.139083219406221
3598.7584247091745,1.0874637192606267
3599.48529976971,1.0952287802756802
3600.2121748302443,1.128419737456544
3600.9390498907806,1.1603828901656708
3601.665924951315,1.1512952744276124
3602.392800011851,1.1152392948524363
3603.119675072386,1.0863478145215029
3603.8465501329215,1.0732706875393772
3604.573425193457,1.0957111897356904
3605.300300253992,1.1192393765629054
3606.027175314527,1.1466412160523778
3606.7540503750624,1.1616522727748468
3607.4809254355973,1.156341155475818
3608.207800496133,1.1402362280860736
3608.934675556668,1.1416519166290293
3609.6615506172034,1.1232680375870723
3610.3884256777383,1.099651975939062
3611.1153007382736,1.1308667182727299
3611.8421757988085,1.1934897533571478
3612.569050859344,1.2265675204135287
3613.295925919879,1.2392194927315419
3614.0228009804146,1.239044486668869
3614.74967604095,1.2005190484613524
3615.476551101485,1.170020013998196
3616.20342616202,1.1536939414587155
3616.930301222556,1.1142669988121388
3617.6571762830913,1.1094508104013623
3618.3840513436257,1.1386634160911258
3619.110926404161,1.1671594082977892
3619.8378014646964,1.1717726952844378
3620.564676525232,1.1423232175808737
3621.291551585767,1.098123693615534
3622.018426646302,1.0693724732342675
3622.7453017068374,1.0663915512123738
3623.4721767673723,1.0846957172368565
3624.199051827907,1.1299318794269195
3624.925926888443,1.1579714154848328
3625.6528019489783,1.172375815692187
3626.379677009513,1.195192471465322
3627.1065520700486,1.1864878640024783
3627.8334271305835,1.1819250663953045
3628.5603021911193,1.211661707288802
3629.287177251654,1.1993379227693999
3630.0140523121895,1.0979922905046728
3630.740927372725,1.008437083626937
3631.46780243326,1.0179783204616881
3632.1946774937946,1.0664448613931448
3632.9215525543304,1.0647973457523647
3633.6484276148653,1.0875084470022196
3634.375302675401,1.1204756328549768
3635.102177735936,1.0955544967683122
3635.8290527964714,1.0534447733855776
3636.555927857007,1.0507674215122391
3637.282802917542,1.1050832616580075
3638.009677978077,1.1249721478920471
3638.7365530386123,1.0601753915130494
3639.4634280991477,1.0100461914696603
3640.190303159683,1.0633215261582007
3640.917178220218,1.1711527790805711
3641.6440532807533,1.2417501168165896
3642.3709283412886,1.250879503406767
3643.0978034018235,1.2070103308633549
3643.8246784623584,1.1494518920244032
3644.551553522894,1.1283550948339864
3645.2784285834296,1.1587325389925212
3646.0053036439645,1.1750788114490216
3646.7321787045,1.14846805035759
3647.459053765035,1.1291082836584168
3648.1859288255705,1.1285583956481564
3648.912803886106,1.1552069099915274
3649.639678946641,1.1546198155176088
3650.366554007176,1.1032830994716383
3651.093429067711,1.067682045028597
3651.8203041282463,1.1005334703574943
3652.547179188782,1.141225754058972
3653.2740542493175,1.1496000681636434
3654.000929309852,1.1783024272395928
3654.7278043703873,1.1722073236486443
3655.4546794309226,1.1123231401334266
